day,kanji,romaji,enunciation,definiton
1,教室,kyōshitsu,きょうしつ,classroom
2, 図書館,toshokan, としょかん,library
3,体育館,taiikukan,たいいくかん,gymnasium
4,食堂,shokudō, しょくどう,cafeteria
5,鉛筆,enpitsu,えんぴつ,pencil
6,消しゴム,keshigomu,けしごむ,eraser
7,授業,jugyō,じゅぎょう,class
8,試験,shiken,しけん,examination
9,出席,shusseki,しゅっせき,present (at school)
10,欠席,kesseki,けっせき,absent
11,椅子,isu,いす,chair
12,机,tsukue,つくえ,desk
13,窓,mado,まど,window
14,お手洗い,otearai,おてあらい,washroom
15,リュック,ryukku,りゅっく,backpack
16,スマートホン（スマホ）,sumaatohon (sumaho),すまーとほん（すまほ）,smartphone
17,充電する,juuden suru,じゅうでんする,to charge (a device)
18,時計,tokei,とけい,clock
19,教科書,kyōkasho,きょうかしょ,textbook
20,本,hon,ほん,book
21,廊下,rōka,ろうか,hallway
22,壁,kabe,かべ,wall
23,紙,kami,かみ,paper
24,ホチキス,hochikisu,ほちきす,stapler
25,水筒,suitō,すいとう,water bottle
26,ゴミ,gomi,ごみ,garbage
27,ゴミ箱,gomibako,ごみばこ,garbage can
28,ハサミ,hasami,はさみ,scissors
29,充電器,juudenki,じゅうでんき,charger
30,帽子,bōshi,ぼうし,hat
31,靴,kutsu,くつ,shoes
32,テーブル,teeburu,ていぶる,table
33,片づける,katadzukeru,かたづける,to clean up or put away
34,飲む,nomu,のむ,to drink
35,食べる,taberu,たべる,to eat
36,見る,miru,みる,to look/see/watch
37,出す,dasu,だす,to take out
38,提出する,teishutsu suru,ていしゅつする,to hand in
39,輪ゴム,wagomu,わごむ,elastic band
40,聞く,kiku,きく,"to listen, to ask"
41,質問,shitsumon,しつもん,question
42,例,rei,れい,example
43,例文,reibun,れいぶん,example sentence
44,名詞,meishi,めいし,noun
45,形容詞,keiyoushi,けいようし,adjective